Activity Period,Operating Airline,Passenger Count
200507,ATA Airlines,27271
200507,ATA Airlines,29131
200507,ATA Airlines,5415
200507,Air Canada,35156
200507,Air Canada,34090
200507,Air China,6263
200507,Air China,5500
200507,Air France,12050
200507,Air France,11638
200507,Air New Zealand,4998
200507,Air New Zealand,4962
200507,AirTran Airways,8055
200507,AirTran Airways,7984
200507,Alaska Airlines,36641
200507,Alaska Airlines,39379
200507,Alaska Airlines,3678
200507,Alaska Airlines,7977
200507,Alaska Airlines,8837
200507,Alaska Airlines,6969
200507,Alaska Airlines,10046
200507,Alaska Airlines,2266
200507,All Nippon Airways,6545
200507,All Nippon Airways,6094
200507,American Airlines,166577
200507,American Airlines,160890
200507,American Eagle Airlines,5493
200507,American Eagle Airlines,5213
200507,Asiana Airlines,5041
200507,Asiana Airlines,4744
200507,Atlantic Southeast Airlines,1552
200507,Atlantic Southeast Airlines,1484
200507,BelAir Airlines,325
200507,BelAir Airlines,545
200507,British Airways,20632
200507,British Airways,21686
200507,Cathay Pacific,11010
200507,Cathay Pacific,9628
200507,China Airlines,13638
200507,China Airlines,11255
200507,Delta Air Lines,97510
200507,Delta Air Lines,93791
200507,EVA Airways,14142
200507,EVA Airways,12132
200507,Frontier Airlines,19234
200507,Frontier Airlines,18368
200507,Hawaiian Airlines,7579
200507,Hawaiian Airlines,7658
200507,Horizon Air,5284
200507,Horizon Air,5257
200507,Icelandair,4540
200507,Icelandair,4341
200507,Independence Air,10843
200507,Independence Air,10967
200507,Japan Airlines,9195
200507,Japan Airlines,9086
200507,KLM Royal Dutch Airlines,9978
200507,KLM Royal Dutch Airlines,9587
200507,Korean Air Lines,6153
200507,Korean Air Lines,5646
200507,Lufthansa German Airlines,22389
200507,Lufthansa German Airlines,20511
200507,Mesa Airlines,2636
200507,Mesa Airlines,2535
200507,Mexicana Airlines,7751
200507,Mexicana Airlines,7845
200507,Midwest Airlines,1797
200507,Midwest Airlines,3238
200507,Northwest Airlines,64231
200507,Northwest Airlines,62049
200507,Northwest Airlines,7229
200507,Northwest Airlines,6554
200507,Philippine Airlines,12828
200507,Philippine Airlines,10269
200507,Singapore Airlines,19211
200507,Singapore Airlines,17462
200507,SkyWest Airlines,7262
200507,SkyWest Airlines,6586
200507,SkyWest Airlines,103279
200507,SkyWest Airlines,102023
200507,SkyWest Airlines,3688
200507,SkyWest Airlines,3633
200507,Sun Country Airlines,4827
200507,Sun Country Airlines,4784
200507,TACA,6324
200507,TACA,7031
200507,US Airways,46042
200507,US Airways,45553
200507,US Airways,38951
200507,US Airways,37848
200507,United Airlines,62178
200507,United Airlines,60939
200507,United Airlines - Pre 07/01/2013,58767
200507,United Airlines - Pre 07/01/2013,58277
200507,United Airlines - Pre 07/01/2013,443656
200507,United Airlines - Pre 07/01/2013,421802
200507,United Airlines - Pre 07/01/2013,11388
200507,United Airlines - Pre 07/01/2013,77658
200507,United Airlines - Pre 07/01/2013,68278
200507,United Airlines - Pre 07/01/2013,3953
200507,United Airlines - Pre 07/01/2013,8603
200507,United Airlines - Pre 07/01/2013,8234
200507,United Airlines - Pre 07/01/2013,1385
200507,United Airlines - Pre 07/01/2013,12874
200507,United Airlines - Pre 07/01/2013,12085
200507,United Airlines - Pre 07/01/2013,10
200507,United Airlines - Pre 07/01/2013,30796
200507,United Airlines - Pre 07/01/2013,29283
200507,United Airlines - Pre 07/01/2013,888
200507,United Airlines - Pre 07/01/2013,9537
200507,United Airlines - Pre 07/01/2013,9672
200507,United Airlines - Pre 07/01/2013,45
200507,Virgin Atlantic,11684
200507,Virgin Atlantic,10771
200507,WestJet Airlines,2480
200507,WestJet Airlines,2211
200508,ATA Airlines,27472
200508,ATA Airlines,26535
200508,ATA Airlines,5712
200508,Air Canada,34878
200508,Air Canada,34105
200508,Air China,4204
200508,Air China,3923
200508,Air France,11230
200508,Air France,11731
200508,Air New Zealand,4672
200508,Air New Zealand,4006
200508,AirTran Airways,7796
200508,AirTran Airways,7737
200508,Alaska Airlines,40431
200508,Alaska Airlines,39595
200508,Alaska Airlines,1902
200508,Alaska Airlines,8901
200508,Alaska Airlines,9020
200508,Alaska Airlines,7541
200508,Alaska Airlines,9333
200508,Alaska Airlines,1902
200508,All Nippon Airways,6739
200508,All Nippon Airways,5966
200508,American Airlines,162064
200508,American Airlines,157700
200508,American Eagle Airlines,5233
200508,American Eagle Airlines,4866
200508,Asiana Airlines,4099
200508,Asiana Airlines,3376
200508,Atlantic Southeast Airlines,1735
200508,Atlantic Southeast Airlines,1560
200508,BelAir Airlines,353
200508,BelAir Airlines,751
200508,Boeing Company,18
200508,British Airways,20312
200508,British Airways,20084
200508,Cathay Pacific,11753
200508,Cathay Pacific,9050
200508,China Airlines,14610
200508,China Airlines,10972
200508,Delta Air Lines,97343
200508,Delta Air Lines,97160
200508,EVA Airways,13524
200508,EVA Airways,11950
200508,Frontier Airlines,17109
200508,Frontier Airlines,17186
200508,Hawaiian Airlines,7923
200508,Hawaiian Airlines,7751
200508,Horizon Air,5572
200508,Horizon Air,5268
200508,Icelandair,4691
200508,Icelandair,4355
200508,Independence Air,9191
200508,Independence Air,9850
200508,Japan Airlines,9296
200508,Japan Airlines,7913
200508,KLM Royal Dutch Airlines,9666
200508,KLM Royal Dutch Airlines,9881
200508,Korean Air Lines,8856
200508,Korean Air Lines,7164
200508,Lufthansa German Airlines,21512
200508,Lufthansa German Airlines,21881
200508,Mesa Airlines,2725
200508,Mesa Airlines,2546
200508,Mexicana Airlines,7156
200508,Mexicana Airlines,5946
200508,Midwest Airlines,1552
200508,Midwest Airlines,3382
200508,Northwest Airlines,56501
200508,Northwest Airlines,56674
200508,Northwest Airlines,7107
200508,Northwest Airlines,6522
200508,Philippine Airlines,12856
200508,Philippine Airlines,8718
200508,Singapore Airlines,19192
200508,Singapore Airlines,17118
200508,SkyWest Airlines,7052
200508,SkyWest Airlines,6652
200508,SkyWest Airlines,102899
200508,SkyWest Airlines,103188
200508,SkyWest Airlines,3672
200508,SkyWest Airlines,3570
200508,Sun Country Airlines,4720
200508,Sun Country Airlines,4717
200508,TACA,7357
200508,TACA,5128
200508,US Airways,42622
200508,US Airways,44508
200508,US Airways,40712
200508,US Airways,40322
200508,United Airlines,61872
200508,United Airlines,61768
200508,United Airlines - Pre 07/01/2013,55842
200508,United Airlines - Pre 07/01/2013,27930
200508,United Airlines - Pre 07/01/2013,56087
200508,United Airlines - Pre 07/01/2013,26098
200508,United Airlines - Pre 07/01/2013,676
200508,United Airlines - Pre 07/01/2013,420430
200508,United Airlines - Pre 07/01/2013,398135
